Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1958,3.5,3.1,2.8,2.4,2.4,2.1,2.4,2.0,1.7,1.7,1.3,1.7
1959,1.7,1.7,1.7,1.7,2.0,2.0,2.0,2.0,2.3,2.7,2.3,2.0
1960,2.0,2.3,2.0,2.0,1.6,2.0,1.3,1.3,1.3,1.0,1.0,1.0
1961,1.0,0.6,0.6,1.0,1.0,0.6,1.3,1.3,1.3,1.3,1.6,1.6
1962,1.3,1.3,1.6,1.6,1.6,1.6,1.6,1.6,1.3,1.3,0.9,0.9
1963,1.0,1.0,0.9,0.9,0.9,1.3,0.9,1.3,1.6,1.6,1.6,1.9
1964,2.2,2.2,1.9,1.9,1.9,1.6,1.6,1.2,0.9,0.9,1.2,0.9
1965,1.2,1.2,1.2,1.2,1.2,1.5,1.2,1.2,1.5,1.5,1.5,1.5
1966,1.2,1.5,1.5,1.8,2.1,2.1,2.7,3.0,3.0,3.6,3.3,3.3
1967,3.6,3.3,3.6,3.3,3.6,3.3,3.5,3.5,3.5,3.2,3.8,4.1
1968,3.8,4.3,4.3,4.6,4.3,4.9,4.8,4.5,4.8,5.1,5.0,5.0
1969,5.3,5.3,5.8,6.1,6.0,5.7,5.4,6.0,6.2,5.9,5.9,6.1
1970,6.1,6.1,6.0,5.7,6.0,6.5,6.4,6.2,6.1,6.3,6.5,6.5
1971,6.3,6.0,5.2,5.2,5.1,4.9,4.8,4.8,4.3,3.8,3.3,3.1
1972,3.3,3.1,3.3,3.3,3.0,3.0,2.8,3.0,2.8,3.0,3.0,3.0
1973,2.5,2.7,3.0,2.9,3.2,3.1,3.1,3.1,4.0,4.5,4.7,4.7
1974,5.1,5.5,6.0,6.2,7.0,7.8,8.9,9.8,10.3,10.4,11.0,11.2
1975,11.4,11.6,11.5,11.4,10.4,9.7,9.0,8.3,7.4,7.1,6.9,6.9
1976,6.8,6.6,6.4,6.3,6.7,6.4,6.6,6.8,6.9,6.7,6.4,6.1
1977,6.2,6.2,6.3,6.5,6.3,6.6,6.4,6.2,6.1,6.1,6.1,6.4
1978,6.4,6.3,6.3,6.2,6.7,7.0,7.3,7.4,7.7,8.1,8.4,8.4
1979,8.5,8.9,9.2,9.4,9.5,9.3,9.5,9.9,10.0,10.0,10.4,11.1
1980,11.6,11.8,12.1,12.7,12.7,13.3,12.1,11.6,11.8,12.0,12.2,12.1
1981,11.4,10.8,10.0,9.4,9.6,9.3,11.2,11.6,11.7,10.9,10.0,9.5
1982,9.1,8.9,8.7,8.8,8.6,8.5,7.5,7.0,6.0,5.9,5.4,4.6
1983,4.6,4.6,4.9,4.3,3.5,2.8,2.7,2.9,3.3,3.3,3.7,4.1
1984,4.1,3.7,3.2,3.0,3.4,3.4,3.6,4.2,4.4,4.1,3.8,4.0
1985,4.1,4.8,5.1,5.2,4.9,4.9,4.4,3.6,3.2,3.7,4.2,4.2
1986,4.2,3.8,3.8,3.9,3.7,3.7,3.8,3.7,3.9,3.7,3.6,3.4
1987,3.4,3.5,3.7,3.9,4.1,3.9,3.9,4.2,4.2,4.4,4.4,4.3
1988,4.3,4.3,4.3,4.1,4.1,4.4,4.4,4.3,4.4,4.5,4.4,4.5
1989,4.6,4.8,4.7,4.6,4.5,4.4,4.6,4.4,4.2,4.1,4.3,4.3
1990,4.2,4.4,4.7,4.7,4.5,4.7,4.7,5.1,5.1,5.0,4.8,4.9
1991,5.2,5.4,5.0,4.9,5.0,4.8,4.7,4.5,4.4,4.4,4.5,4.4
1992,3.9,3.7,3.8,3.7,3.7,3.7,3.7,3.6,3.3,3.5,3.4,3.2
1993,3.4,3.6,3.3,3.4,3.3,3.3,3.1,3.2,3.0,2.9,2.9,2.9
1994,2.7,2.6,2.7,2.6,2.7,2.8,2.8,2.8,3.0,2.9,2.8,2.8
1995,3.0,3.2,3.1,3.3,3.2,3.1,3.0,3.0,3.0,3.0,3.0,3.0
1996,2.9,2.8,2.8,2.7,2.7,2.6,2.7,2.5,2.6,2.5,2.5,2.5
1997,2.4,2.4,2.4,2.5,2.4,2.3,2.3,2.2,2.1,2.1,2.0,2.1
1998,2.1,2.1,1.9,1.9,2.0,2.1,2.1,2.3,2.3,2.3,2.3,2.5
1999,2.4,2.2,2.1,2.2,2.1,2.1,2.1,1.9,2.1,2.1,2.1,1.9
2000,1.9,2.1,2.4,2.3,2.3,2.4,2.4,2.4,2.4,2.3,2.5,2.4
2001,2.5,2.6,2.6,2.5,2.5,2.6,2.7,2.6,2.6,2.6,2.7,2.7
2002,2.4,2.4,2.2,2.3,2.3,2.1,2.0,2.3,2.1,2.0,1.7,1.7
2003,1.8,1.7,1.7,1.3,1.4,1.3,1.2,1.0,0.9,0.9,0.7,0.7
2004,0.7,0.9,1.1,1.3,1.3,1.4,1.4,1.4,1.8,1.9,2.0,2.1
2005,2.2,2.3,2.2,2.2,2.2,2.1,2.1,2.2,1.9,2.0,2.0,2.0
2006,2.0,1.9,2.1,2.2,2.3,2.5,2.5,2.7,2.7,2.6,2.4,2.5
2007,2.5,2.5,2.3,2.2,2.1,2.0,2.1,2.0,2.0,2.0,2.2,2.3
2008,2.4,2.3,2.3,2.2,2.3,2.4,2.5,2.5,2.4,2.1,2.0,1.7
2009,1.7,1.7,1.8,2.0,2.0,1.9,1.8,1.7,1.8,2.1,2.1,2.2
2010,2.0,1.9,1.6,1.3,1.3,1.3,1.2,1.2,1.1,0.8,0.8,0.8
2011,0.9,1.1,1.2,1.3,1.5,1.7,1.8,2.0,2.0,2.2,2.2,2.3
2012,2.4,2.2,2.4,2.4,2.3,2.2,2.1,1.9,1.9,2.0,1.9,1.8
2013,1.9,1.9,1.8,1.7,1.6,1.6,1.7,1.8,1.7,1.7,1.7,1.7
2014,1.6,1.5,1.6,1.8,1.9,1.9,1.8,1.6,1.7,1.7,1.5,1.4
2015,1.5,1.6,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,2.0,2.1
2016,2.2,2.3,2.2,2.1,2.2,2.2,2.1,2.2,2.1,2.0,2.0,2.1
2017,2.1,2.1,1.8,1.7,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.8
2018,1.8,1.9,2.1,2.1,2.2,2.2,2.3,2.2,2.2,2.2,2.2,2.1
2019,2.1,2.0,2.0,2.0,1.9,2.0,2.1,2.3,2.3,2.3,2.2,2.2
2020,2.2,2.3,2.2,1.6,1.3,1.3,1.8,2.0,2.0,1.9,2.0,1.9
2021,1.7,1.5,1.8,3.2,4.2,5.0,4.7,4.3,4.3,4.9,5.3,5.9
2022,6.5,6.9,6.9,6.4,6.1,5.9,6.0,6.4,6.7,6.2,5.8,5.5
2023,5.3,5.3,5.4,5.4,5.3,4.7,4.5,4.2,4.1,4.1,4.0,3.9
