Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1940,-0.7,0.7,0.7,1.4,1.4,2.2,1.4,1.4,-0.7,0.0,0.0,0.7
1941,1.4,0.7,1.4,2.1,2.9,4.3,5.0,6.4,7.9,9.3,10.0,9.9
1942,11.3,12.1,12.7,12.6,13.2,10.9,11.6,10.7,9.3,9.2,9.1,9.0
1943,7.6,7.0,7.5,8.1,7.4,7.4,6.1,4.8,5.5,4.2,3.6,3.0
1944,3.0,3.0,1.2,0.6,0.0,0.6,1.7,2.3,1.7,1.7,1.7,2.3
1945,2.3,2.3,2.3,1.7,2.3,2.8,2.3,2.3,2.3,2.3,2.3,2.2
1946,2.2,1.7,2.8,3.4,3.4,3.3,9.4,11.6,12.7,14.9,17.7,18.1
1947,18.1,18.8,19.7,19.0,18.4,17.6,12.1,11.4,12.7,10.6,8.5,8.8
1948,10.2,9.3,6.8,8.7,9.1,9.5,9.9,8.9,6.5,6.1,4.8,3.0
1949,1.3,1.3,1.7,0.4,-0.4,-0.8,-2.9,-2.9,-2.4,-2.9,-1.7,-2.1
1950,-2.1,-1.3,-0.8,-1.3,-0.4,-0.4,1.7,2.1,2.1,3.8,3.8,5.9
1951,8.1,9.4,9.3,9.3,9.3,8.8,7.5,6.6,7.0,6.5,6.9,6.0
1952,4.3,2.3,1.9,2.3,1.9,2.3,3.1,3.1,2.3,1.9,1.1,0.8
1953,0.4,0.8,1.1,0.8,1.1,1.1,0.4,0.7,0.7,1.1,0.7,0.7
1954,1.1,1.5,1.1,0.8,0.7,0.4,0.4,0.0,-0.4,-0.7,-0.4,-0.7
1955,-0.7,-0.7,-0.7,-0.4,-0.7,-0.7,-0.4,-0.4,0.4,0.4,0.4,0.4
1956,0.4,0.4,0.4,0.7,1.1,1.9,2.2,1.9,1.9,2.2,2.2,3.0
1957,3.0,3.4,3.7,3.7,3.7,3.3,3.3,3.7,3.3,2.9,3.3,2.9
1958,3.6,3.2,3.6,3.6,3.2,2.8,2.5,2.1,2.1,2.1,2.1,1.8
1959,1.4,1.0,0.3,0.3,0.3,0.7,0.7,1.0,1.4,1.7,1.4,1.7
1960,1.0,1.7,1.7,1.7,1.7,1.7,1.4,1.4,1.0,1.4,1.4,1.4
1961,1.7,1.4,1.4,1.0,1.0,0.7,1.4,1.0,1.4,0.7,0.7,0.7
1962,0.7,1.0,1.0,1.3,1.3,1.3,1.0,1.3,1.3,1.3,1.3,1.3
1963,1.3,1.0,1.3,1.0,1.0,1.3,1.3,1.3,1.0,1.3,1.3,1.6
1964,1.6,1.6,1.3,1.3,1.3,1.3,1.3,1.0,1.3,1.0,1.3,1.0
1965,1.0,1.0,1.3,1.6,1.6,1.9,1.6,1.9,1.6,1.9,1.6,1.9
1966,1.9,2.6,2.6,2.9,2.9,2.5,2.8,3.5,3.5,3.8,3.8,3.5
1967,3.5,2.8,2.8,2.5,2.8,2.8,2.8,2.4,2.8,2.4,2.7,3.0
1968,3.6,4.0,3.9,3.9,3.9,4.2,4.5,4.5,4.5,4.7,4.7,4.7
1969,4.4,4.7,5.2,5.5,5.5,5.5,5.4,5.7,5.7,5.7,5.9,6.2
1970,6.2,6.1,5.8,6.1,6.0,6.0,6.0,5.4,5.7,5.6,5.6,5.6
1971,5.3,5.0,4.7,4.2,4.4,4.6,4.4,4.6,4.1,3.8,3.3,3.3
1972,3.3,3.5,3.5,3.5,3.2,2.7,2.9,2.9,3.2,3.4,3.7,3.4
1973,3.6,3.9,4.6,5.1,5.5,6.0,5.7,7.4,7.4,7.8,8.3,8.7
1974,9.4,10.0,10.4,10.1,10.7,10.9,11.5,10.9,11.9,12.1,12.2,12.3
1975,11.8,11.2,10.3,10.2,9.5,9.4,9.7,8.6,7.9,7.4,7.4,6.9
1976,6.7,6.3,6.1,6.0,6.2,6.0,5.4,5.7,5.5,5.5,4.9,4.9
1977,5.2,5.9,6.4,7.0,6.7,6.9,6.8,6.6,6.6,6.4,6.7,6.7
1978,6.8,6.4,6.6,6.5,7.0,7.4,7.7,7.8,8.3,8.9,8.9,9.0
1979,9.3,9.9,10.1,10.5,10.9,10.9,11.3,11.8,12.2,12.1,12.6,13.3
1980,13.9,14.2,14.8,14.7,14.4,14.4,13.1,12.9,12.6,12.8,12.6,12.5
1981,11.8,11.4,10.5,10.0,9.8,9.6,10.8,10.8,11.0,10.1,9.6,8.9
1982,8.4,7.6,6.8,6.5,6.7,7.1,6.4,5.9,5.0,5.1,4.6,3.8
1983,3.7,3.5,3.6,3.9,3.5,2.6,2.5,2.6,2.9,2.9,3.3,3.8
1984,4.2,4.6,4.8,4.6,4.2,4.2,4.2,4.3,4.3,4.3,4.1,3.9
1985,3.5,3.5,3.7,3.7,3.8,3.8,3.6,3.3,3.1,3.2,3.5,3.8
1986,3.9,3.1,2.3,1.6,1.5,1.8,1.6,1.6,1.8,1.5,1.3,1.1
1987,1.5,2.1,3.0,3.8,3.9,3.7,3.9,4.3,4.4,4.5,4.5,4.4
1988,4.0,3.9,3.9,3.9,3.9,4.0,4.1,4.0,4.2,4.2,4.2,4.4
1989,4.7,4.8,5.0,5.1,5.4,5.2,5.0,4.7,4.3,4.5,4.7,4.6
1990,5.2,5.3,5.2,4.7,4.4,4.7,4.8,5.6,6.2,6.3,6.3,6.1
1991,5.7,5.3,4.9,4.9,5.0,4.7,4.4,3.8,3.4,2.9,3.0,3.1
1992,2.6,2.8,3.2,3.2,3.0,3.1,3.2,3.1,3.0,3.2,3.0,2.9
1993,3.3,3.2,3.1,3.2,3.2,3.0,2.8,2.8,2.7,2.8,2.7,2.7
1994,2.5,2.5,2.5,2.4,2.3,2.5,2.8,2.9,3.0,2.6,2.7,2.7
1995,2.8,2.9,2.9,3.1,3.2,3.0,2.8,2.6,2.5,2.8,2.6,2.5
1996,2.7,2.7,2.8,2.9,2.9,2.8,3.0,2.9,3.0,3.0,3.3,3.3
1997,3.0,3.0,2.8,2.5,2.2,2.3,2.2,2.2,2.2,2.1,1.8,1.7
1998,1.6,1.4,1.4,1.4,1.7,1.7,1.7,1.6,1.5,1.5,1.5,1.6
1999,1.7,1.6,1.7,2.3,2.1,2.0,2.1,2.3,2.6,2.6,2.6,2.7
2000,2.7,3.2,3.8,3.1,3.2,3.7,3.7,3.4,3.5,3.4,3.4,3.4
2001,3.7,3.5,2.9,3.3,3.6,3.2,2.7,2.7,2.6,2.1,1.9,1.6
2002,1.1,1.1,1.5,1.6,1.2,1.1,1.5,1.8,1.5,2.0,2.2,2.4
2003,2.6,3.0,3.0,2.2,2.1,2.1,2.1,2.2,2.3,2.0,1.8,1.9
2004,1.9,1.7,1.7,2.3,3.1,3.3,3.0,2.7,2.5,3.2,3.5,3.3
2005,3.0,3.0,3.1,3.5,2.8,2.5,3.2,3.6,4.7,4.3,3.5,3.4
2006,4.0,3.6,3.4,3.5,4.2,4.3,4.1,3.8,2.1,1.3,2.0,2.5
2007,2.1,2.4,2.8,2.6,2.7,2.7,2.4,2.0,2.8,3.5,4.3,4.1
2008,4.3,4.0,4.0,3.9,4.2,5.0,5.6,5.4,4.9,3.7,1.1,0.1
2009,0.0,0.2,-0.4,-0.7,-1.3,-1.4,-2.1,-1.5,-1.3,-0.2,1.8,2.7
2010,2.6,2.1,2.3,2.2,2.0,1.1,1.2,1.1,1.1,1.2,1.1,1.5
2011,1.6,2.1,2.7,3.2,3.6,3.6,3.6,3.8,3.9,3.5,3.4,3.0
2012,2.9,2.9,2.7,2.3,1.7,1.7,1.4,1.7,2.0,2.2,1.8,1.7
2013,1.6,2.0,1.5,1.1,1.4,1.8,2.0,1.5,1.2,1.0,1.2,1.5
2014,1.6,1.1,1.5,2.0,2.1,2.1,2.0,1.7,1.7,1.7,1.3,0.8
2015,-0.1,0.0,-0.1,-0.2,0.0,0.1,0.2,0.2,0.0,0.2,0.5,0.7
2016,1.4,1.0,0.9,1.1,1.0,1.0,0.8,1.1,1.5,1.6,1.7,2.1
2017,2.5,2.7,2.4,2.2,1.9,1.6,1.7,1.9,2.2,2.0,2.2,2.1
2018,2.1,2.2,2.4,2.5,2.8,2.9,2.9,2.7,2.3,2.5,2.2,1.9
2019,1.6,1.5,1.9,2.0,1.8,1.6,1.8,1.7,1.7,1.8,2.1,2.3
2020,2.5,2.3,1.5,0.3,0.1,0.6,1.0,1.3,1.4,1.2,1.2,1.4
2021,1.4,1.7,2.6,4.2,5.0,5.4,5.4,5.3,5.4,6.2,6.8,7.0
2022,7.5,7.9,8.5,8.3,8.6,9.1,8.5,8.3,8.2,7.7,7.1,6.5
2023,6.4,6.0,5.0,4.9,4.0,3.0,3.2,3.7,3.7,3.2,,
