,date,core_pce
1,1960-01-01,2.1
2,1960-02-01,2.2
3,1960-03-01,2.1
4,1960-04-01,2
5,1960-05-01,2
6,1960-06-01,1.8
7,1960-07-01,1.7
8,1960-08-01,1.7
9,1960-09-01,1.5
10,1960-10-01,1.4
11,1960-11-01,1.5
12,1960-12-01,1.3
13,1961-01-01,1.3
14,1961-02-01,1.2
15,1961-03-01,1.3
16,1961-04-01,1.2
17,1961-05-01,1.2
18,1961-06-01,1.3
19,1961-07-01,1.3
20,1961-08-01,1.2
21,1961-09-01,1.3
22,1961-10-01,1.3
23,1961-11-01,1.1
24,1961-12-01,1.2
25,1962-01-01,1.3
26,1962-02-01,1.3
27,1962-03-01,1.5
28,1962-04-01,1.4
29,1962-05-01,1.4
30,1962-06-01,1.5
31,1962-07-01,1.4
32,1962-08-01,1.3
33,1962-09-01,1.3
34,1962-10-01,1.3
35,1962-11-01,1.3
36,1962-12-01,1.3
37,1963-01-01,1.3
38,1963-02-01,1.3
39,1963-03-01,1.1
40,1963-04-01,1.2
41,1963-05-01,1.2
42,1963-06-01,1.2
43,1963-07-01,1.2
44,1963-08-01,1.3
45,1963-09-01,1.3
46,1963-10-01,1.5
47,1963-11-01,1.6
48,1963-12-01,1.7
49,1964-01-01,1.6
50,1964-02-01,1.7
51,1964-03-01,1.7
52,1964-04-01,1.7
53,1964-05-01,1.6
54,1964-06-01,1.5
55,1964-07-01,1.5
56,1964-08-01,1.5
57,1964-09-01,1.4
58,1964-10-01,1.2
59,1964-11-01,1.3
60,1964-12-01,1.3
61,1965-01-01,1.3
62,1965-02-01,1.2
63,1965-03-01,1.2
64,1965-04-01,1.2
65,1965-05-01,1.3
66,1965-06-01,1.2
67,1965-07-01,1.2
68,1965-08-01,1.3
69,1965-09-01,1.3
70,1965-10-01,1.3
71,1965-11-01,1.3
72,1965-12-01,1.5
73,1966-01-01,1.4
74,1966-02-01,1.5
75,1966-03-01,1.6
76,1966-04-01,1.8
77,1966-05-01,1.9
78,1966-06-01,2.2
79,1966-07-01,2.4
80,1966-08-01,2.4
81,1966-09-01,2.6
82,1966-10-01,3
83,1966-11-01,3.1
84,1966-12-01,3.1
85,1967-01-01,3.1
86,1967-02-01,3.1
87,1967-03-01,3.1
88,1967-04-01,3
89,1967-05-01,2.9
90,1967-06-01,2.9
91,1967-07-01,2.9
92,1967-08-01,3.1
93,1967-09-01,3.1
94,1967-10-01,3.1
95,1967-11-01,3.2
96,1967-12-01,3.2
97,1968-01-01,3.5
98,1968-02-01,3.8
99,1968-03-01,4
100,1968-04-01,4.1
101,1968-05-01,4.3
102,1968-06-01,4.4
103,1968-07-01,4.4
104,1968-08-01,4.5
105,1968-09-01,4.6
106,1968-10-01,4.6
107,1968-11-01,4.7
108,1968-12-01,4.7
109,1969-01-01,4.7
110,1969-02-01,4.6
111,1969-03-01,4.6
