"","date","cpi","ccpi"
"1",1958-01-01,3.6,3.5
"2",1958-02-01,3.2,3.1
"3",1958-03-01,3.6,2.8
"4",1958-04-01,3.6,2.4
"5",1958-05-01,3.2,2.4
"6",1958-06-01,2.8,2.1
"7",1958-07-01,2.5,2.4
"8",1958-08-01,2.1,2
"9",1958-09-01,2.1,1.7
"10",1958-10-01,2.1,1.7
"11",1958-11-01,2.1,1.3
"12",1958-12-01,1.8,1.7
"13",1959-01-01,1.4,1.7
"14",1959-02-01,1,1.7
"15",1959-03-01,0.3,1.7
"16",1959-04-01,0.3,1.7
"17",1959-05-01,0.3,2
"18",1959-06-01,0.7,2
"19",1959-07-01,0.7,2
"20",1959-08-01,1,2
"21",1959-09-01,1.4,2.3
"22",1959-10-01,1.7,2.7
"23",1959-11-01,1.4,2.3
"24",1959-12-01,1.7,2
"25",1960-01-01,1,2
"26",1960-02-01,1.7,2.3
"27",1960-03-01,1.7,2
"28",1960-04-01,1.7,2
"29",1960-05-01,1.7,1.6
"30",1960-06-01,1.7,2
"31",1960-07-01,1.4,1.3
"32",1960-08-01,1.4,1.3
"33",1960-09-01,1,1.3
"34",1960-10-01,1.4,1
"35",1960-11-01,1.4,1
"36",1960-12-01,1.4,1
"37",1961-01-01,1.7,1
"38",1961-02-01,1.4,0.6
"39",1961-03-01,1.4,0.6
"40",1961-04-01,1,1
"41",1961-05-01,1,1
"42",1961-06-01,0.7,0.6
"43",1961-07-01,1.4,1.3
"44",1961-08-01,1,1.3
"45",1961-09-01,1.4,1.3
"46",1961-10-01,0.7,1.3
"47",1961-11-01,0.7,1.6
"48",1961-12-01,0.7,1.6
"49",1962-01-01,0.7,1.3
"50",1962-02-01,1,1.3
"51",1962-03-01,1,1.6
"52",1962-04-01,1.3,1.6
"53",1962-05-01,1.3,1.6
"54",1962-06-01,1.3,1.6
"55",1962-07-01,1,1.6
"56",1962-08-01,1.3,1.6
"57",1962-09-01,1.3,1.3
"58",1962-10-01,1.3,1.3
"59",1962-11-01,1.3,0.9
"60",1962-12-01,1.3,0.9
"61",1963-01-01,1.3,1
"62",1963-02-01,1,1
"63",1963-03-01,1.3,0.9
"64",1963-04-01,1,0.9
"65",1963-05-01,1,0.9
"66",1963-06-01,1.3,1.3
"67",1963-07-01,1.3,0.9
"68",1963-08-01,1.3,1.3
"69",1963-09-01,1,1.6
"70",1963-10-01,1.3,1.6
"71",1963-11-01,1.3,1.6
"72",1963-12-01,1.6,1.9
"73",1964-01-01,1.6,2.2
"74",1964-02-01,1.6,2.2
"75",1964-03-01,1.3,1.9
"76",1964-04-01,1.3,1.9
"77",1964-05-01,1.3,1.9
"78",1964-06-01,1.3,1.6
"79",1964-07-01,1.3,1.6
"80",1964-08-01,1,1.2
"81",1964-09-01,1.3,0.9
"82",1964-10-01,1,0.9
"83",1964-11-01,1.3,1.2
"84",1964-12-01,1,0.9
"85",1965-01-01,1,1.2
"86",1965-02-01,1,1.2
"87",1965-03-01,1.3,1.2
"88",1965-04-01,1.6,1.2
"89",1965-05-01,1.6,1.2
"90",1965-06-01,1.9,1.5
"91",1965-07-01,1.6,1.2
"92",1965-08-01,1.9,1.2
"93",1965-09-01,1.6,1.5
"94",1965-10-01,1.9,1.5
"95",1965-11-01,1.6,1.5
"96",1965-12-01,1.9,1.5
"97",1966-01-01,1.9,1.2
"98",1966-02-01,2.6,1.5
"99",1966-03-01,2.6,1.5
"100",1966-04-01,2.9,1.8
"101",1966-05-01,2.9,2.1
"102",1966-06-01,2.5,2.1
"103",1966-07-01,2.8,2.7
"104",1966-08-01,3.5,3
"105",1966-09-01,3.5,3
"106",1966-10-01,3.8,3.6
"107",1966-11-01,3.8,3.3
"108",1966-12-01,3.5,3.3
"109",1967-01-01,3.5,3.6
"110",1967-02-01,2.8,3.3
"111",1967-03-01,2.8,3.6
"112",1967-04-01,2.5,3.3
"113",1967-05-01,2.8,3.6
"114",1967-06-01,2.8,3.3
"115",1967-07-01,2.8,3.5
"116",1967-08-01,2.4,3.5
"117",1967-09-01,2.8,3.5
"118",1967-10-01,2.4,3.2
"119",1967-11-01,2.7,3.8
"120",1967-12-01,3,4.1
"121",1968-01-01,3.6,3.8
"122",1968-02-01,4,4.3
"123",1968-03-01,3.9,4.3
"124",1968-04-01,3.9,4.6
"125",1968-05-01,3.9,4.3
"126",1968-06-01,4.2,4.9
"127",1968-07-01,4.5,4.8
"128",1968-08-01,4.5,4.5
"129",1968-09-01,4.5,4.8
"130",1968-10-01,4.7,5.1
"131",1968-11-01,4.7,5
"132",1968-12-01,4.7,5
"133",1969-01-01,4.4,5.3
"134",1969-02-01,4.7,5.3
"135",1969-03-01,5.2,5.8
"136",1969-04-01,5.5,6.1
"137",1969-05-01,5.5,6
"138",1969-06-01,5.5,5.7
"139",1969-07-01,5.4,5.4
"140",1969-08-01,5.7,6
"141",1969-09-01,5.7,6.2
"142",1969-10-01,5.7,5.9
"143",1969-11-01,5.9,5.9
"144",1969-12-01,6.2,6.1
"145",1970-01-01,6.2,6.1
"146",1970-02-01,6.1,6.1
"147",1970-03-01,5.8,6
"148",1970-04-01,6.1,5.7
"149",1970-05-01,6,6
"150",1970-06-01,6,6.5
